scenario_id,sample_idx,seed_idx,seed,tte_h,min_headroom_margin,status
S3_gaming,472,5,1011720005,3.359513105016901,0.9064836289725599,cutoff
S3_gaming,472,6,1011720006,3.3606073189394414,0.9087913999905232,cutoff
S3_gaming,472,7,1011720007,3.359051766424567,0.908638678567251,cutoff
S3_gaming,473,0,1011730000,4.581160813935464,0.9382108251444224,cutoff
S3_gaming,473,1,1011730001,4.581983088469068,0.9391344015509903,cutoff
S3_gaming,473,2,1011730002,4.5771217904982775,0.9377881924940403,cutoff
S3_gaming,473,3,1011730003,4.5815529330613725,0.9378435462454878,cutoff
S3_gaming,473,4,1011730004,4.581683073643605,0.9399198985925576,cutoff
S3_gaming,473,5,1011730005,4.582250372526117,0.9399394109211532,cutoff
S3_gaming,473,6,1011730006,4.582613199425769,0.9370956411218334,cutoff
S3_gaming,473,7,1011730007,4.582670535941204,0.9367093704010327,cutoff
S3_gaming,474,0,1011740000,4.061976866691462,0.9036858462428531,cutoff
S3_gaming,474,1,1011740001,4.06036301690517,0.9114272224809323,cutoff
S3_gaming,474,2,1011740002,4.062749988802373,0.9109747426424104,cutoff
S3_gaming,474,3,1011740003,4.060373530333091,0.9039683837690424,cutoff
S3_gaming,474,4,1011740004,4.056432150878584,0.9040035633861772,cutoff
S3_gaming,474,5,1011740005,4.060369217091995,0.9076323387175843,cutoff
S3_gaming,474,6,1011740006,4.055614003811144,0.9021338200084127,cutoff
S3_gaming,474,7,1011740007,4.055555555555555,0.8972799820230092,cutoff
S3_gaming,475,0,1011750000,2.7438163953696066,0.9024908100478943,cutoff
S3_gaming,475,1,1011750001,2.7416666666666667,0.8932752283663811,cutoff
S3_gaming,475,2,1011750002,2.739482088201541,0.9014135439709746,cutoff
S3_gaming,475,3,1011750003,2.7398537708857913,0.8936874288875147,cutoff
S3_gaming,475,4,1011750004,2.738797484962088,0.8949507157526267,cutoff
S3_gaming,475,5,1011750005,2.7399498227856993,0.9016271033987072,cutoff
S3_gaming,475,6,1011750006,2.7426023436244704,0.9010722558101812,cutoff
S3_gaming,475,7,1011750007,2.7377471166192926,0.9019341147339835,cutoff
S3_gaming,476,0,1011760000,2.3944444444444444,0.8463412168958918,soc_min
S3_gaming,476,1,1011760001,2.4,0.8463125088267957,soc_min
S3_gaming,476,2,1011760002,2.4,0.8481396258094422,soc_min
S3_gaming,476,3,1011760003,2.397222222222222,0.8465359386171266,soc_min
S3_gaming,476,4,1011760004,2.397222222222222,0.8489674882265309,soc_min
S3_gaming,476,5,1011760005,2.4,0.8457523435560145,soc_min
