phone_test_id,duration_s_est,P_total_W,avg_temp_C,delta_temp_C
313,33.01423992483365,2.152130297767502,45.50271428571428,0.596
314,30.135369831296977,2.8954944468403294,46.22185714285715,1.67
316,31.810883802350443,1.7375005153398506,43.89042857142857,1.031
317,30.004319486338208,1.7232971747132384,44.316,0.275
319,29.794831511673703,2.749026721896671,44.2605,2.254
32,28.839153511610025,2.5904145199658934,46.289,0.144
320,34.85968296787983,2.147159601794633,45.069545454545455,0.769
322,30.020022396914644,1.8145658680653942,44.316900000000004,0.206
324,29.85993981443341,2.4513555102552007,43.75657142857143,1.809
326,29.7083679818767,4.753309777438655,44.57325,5.134
327,34.620569095055316,2.120849481081665,45.80416666666666,0.143
328,35.18660741930382,2.1969806034096337,45.40875,0.832
33,31.30350824541569,2.165447766063955,45.78255555555556,0.693
330,30.087939904110073,2.067574456684624,44.87875,0.55
331,29.74938256082071,1.8741257532325029,45.017,0.303
332,32.99464136163932,2.4086062378721826,45.109666666666655,0.585
334,30.041820209488495,2.7634924389094975,44.50514285714286,2.332
335,29.98913708838644,1.6955164748535223,44.773857142857146,0.206
337,29.09982293334977,3.2881081860584915,44.24888888888889,3.3
339,30.6039847457436,3.154962231296654,45.248333333333335,2.483
34,29.91791811866096,2.5923712569967847,46.3924,1.336
340,30.11624811663589,2.954406991714576,45.877428571428574,1.408
341,29.435040196916315,2.654909708877751,46.20566666666666,0.12
344,29.998603670237987,1.6160943866896784,43.717,0.641
345,34.248435756028144,2.0572826596204004,44.284875,1.008
346,31.15320243408128,2.891647726766252,45.211,1.41
347,29.791620251002904,2.379005989028545,46.164,0.405
348,32.60343997649165,2.8461816626377163,46.147,1.48
350,32.32055062673663,4.628122946527388,26.666,7.214
352,32.18151470104143,2.0624767857136344,31.2246,0.868
353,32.135476104541844,6.99840267710284,36.98625,7.635
354,30.88906454639269,4.378654387440657,40.979,1.726
356,29.76360533560466,5.094545277369689,41.48155555555556,5.051
357,29.924106244737022,2.649258405635523,43.248625,0.435
358,32.91563846099776,4.8489417633238245,44.477714285714285,4.329
360,25.0172385395162,2.1814197403841584,43.008,0.504
361,29.858940037571625,2.6318870295166445,43.40275,1.535
362,34.31443192240544,2.807142697796047,44.43557142857143,1.703
363,29.83303386455767,2.951818423825118,45.3352,1.229
365,32.18030010227244,1.9295650693952096,44.625625,0.275
366,29.703301602408864,2.499359363942875,45.127625,0.166
368,33.94771235398182,3.2512744555246593,45.22271428571428,3.198
37,29.97691805325416,2.0130114741214813,45.19263636363636,0.287
370,33.34031432442561,2.2774244196124003,44.094,0.733
371,29.91057235808218,1.7186706220320587,44.45014285714286,0.298
372,30.243046598453745,3.188273532102744,45.218714285714285,2.296
373,34.33834259735689,2.153337651354539,46.11933333333334,0.31
375,32.692503147166114,4.361449362202167,44.925,5.385
377,30.826801713123192,2.130394440888184,45.143666666666654,0.284
378,30.183287799810962,2.546145354002201,45.5334,1.263
38,33.8150419035346,2.117600895018117,45.531099999999995,0.929
