sample_idx,scenario_id,scenario_title_zh,soc0,tte_h,status,soc_end,temp_peak_C
75,S1_video,视频播放/视频流,1.0,8.466666666666667,soc_min,0.0997818497215013,26.635403312648076
76,S1_video,视频播放/视频流,1.0,8.159881519507026,cutoff,0.0674167079464156,26.89527532026089
77,S1_video,视频播放/视频流,1.0,8.014286932821747,cutoff,0.0695489708793958,27.042214309428456
78,S1_video,视频播放/视频流,1.0,11.233333333333333,soc_min,0.0498986807553732,26.115466433456465
79,S1_video,视频播放/视频流,1.0,7.855555555555555,soc_min,0.0997704360236928,27.055859311039168
0,S2_navigation,导航（GPS + 地图数据）,1.0,8.55,cutoff,0.0464747694982934,26.975155648629876
1,S2_navigation,导航（GPS + 地图数据）,1.0,6.953961159266481,cutoff,0.0747470610083384,27.68999873627291
2,S2_navigation,导航（GPS + 地图数据）,1.0,6.434034175156901,cutoff,0.054419618934494,28.36622950665061
3,S2_navigation,导航（GPS + 地图数据）,1.0,6.558333333333334,cutoff,0.0528071577383989,28.679196372972093
4,S2_navigation,导航（GPS + 地图数据）,1.0,7.095572871967877,cutoff,0.0677413082297869,28.203643926044304
5,S2_navigation,导航（GPS + 地图数据）,1.0,7.0408212477798555,cutoff,0.0695740835040606,27.960608974887982
6,S2_navigation,导航（GPS + 地图数据）,1.0,7.316666666666666,cutoff,0.0531636003072511,27.752317496872948
7,S2_navigation,导航（GPS + 地图数据）,1.0,6.966666666666667,soc_min,0.0998238731953209,27.463204786516567
8,S2_navigation,导航（GPS + 地图数据）,1.0,7.569629979714754,cutoff,0.0561758605197039,27.42920370201412
9,S2_navigation,导航（GPS + 地图数据）,1.0,7.486111111111111,soc_min,0.0998175093802952,27.542373383045284
10,S2_navigation,导航（GPS + 地图数据）,1.0,7.169444444444444,soc_min,0.0997972111353229,27.71931837890216
11,S2_navigation,导航（GPS + 地图数据）,1.0,6.680339765503358,cutoff,0.0579822521913165,27.88312965545975
12,S2_navigation,导航（GPS + 地图数据）,1.0,7.14647107037529,cutoff,0.0548292118248373,28.159977630757396
13,S2_navigation,导航（GPS + 地图数据）,1.0,7.264779827201933,cutoff,0.0475641288516419,27.745684872583276
14,S2_navigation,导航（GPS + 地图数据）,1.0,8.088888888888889,cutoff,0.0731302140365535,27.312662879006485
