phone_test_id,brightness_pct,brightness_nits,apl,obs_screen_w,obs_total_w
352,13.0,65.0,0.44052287581699345,0.16565348148306352,2.0624767857136344
353,52.0,260.0,0.592156862745098,0.4243789650909645,6.99840267710284
354,29.0,145.0,0.8248366013071896,0.41973353576999317,4.378654387440657
355,25.0,125.0,0.5320261437908497,0.2636847335447188,1.6105148887448093
356,36.0,180.0,0.4627450980392157,0.22111748049200067,5.094545277369689
357,2.0,10.0,0.4287581699346405,0.14877181795639272,2.649258405635523
358,81.0,405.0,0.6862745098039216,0.5759587271130461,4.8489417633238245
359,2.0,10.0,0.469281045751634,0.14962777265478186,1.8161888807963835
36,93.0,465.0,0.6300653594771242,0.7008238025508048,2.1230293993776646
360,2.0,10.0,0.6274509803921569,0.15308117311920627,2.1814197403841584
361,62.0,310.0,0.3790849673202615,0.3005858095158295,2.6318870295166445
362,100.0,500.0,0.4366013071895425,0.3792969192267577,2.807142697796047
363,68.0,340.0,0.6562091503267974,0.4993996579533322,2.951818423825118
364,53.0,265.0,0.2549019607843137,0.2111730519027933,1.8134246902213806
365,69.0,345.0,0.49019607843137253,0.3855820852849612,1.9295650693952096
