test_id,duration_s,soc0,temp_c,brightness_nits,cpu_load,gpu_load,gps_on,obs_total_w,obs_screen_w,obs_cpu_w,obs_gpu_w,obs_radio_w,obs_gps_w,obs_background_w,obs_base_w,obs_other_w,pred_base_w,pred_screen_w,pred_cpu_w,pred_gpu_w,pred_radio_w,pred_gps_w,pred_background_w,pred_interaction_w,pred_other_w,pred_total_w
627.0,34.1730110732387,0.87,44.703900000000004,235.0,0.3401467018291929,0.67712,0.0,2.0430086435863877,0.5369548008653287,0.632386806115474,0.24688523786358346,0.23563691650668991,0.0005038180046538685,0.22284648069371726,0.3315784293630017,0.0,0.34999999999999976,0.32524260789860376,0.9828047513665339,0.25201508889932883,0.20743687265153338,0.0,0.25512100030123025,0.15000000000000002,0.0,2.5226203211172296
397.0,29.162051717827016,0.73,45.6285,165.0,0.3979925503646026,0.11560888888888889,0.0,2.2684459118341245,0.31809343158364706,1.2899588835862315,0.04226838875559535,0.20418586602487157,0.0004797901880035809,0.27309098534467324,0.35936582755472,0.0,0.3499999999999998,0.2719106089973389,1.149941973281972,0.043028096069952074,0.19210480893955686,0.0,0.25342911400636703,0.14999999999999997,0.0,2.410414601295185
364.0,34.143317521744635,0.88,44.71425,265.0,0.38843951755036454,0.7486088888888889,0.0,1.8134246902213806,0.2111730519027933,0.7573038562067765,0.2247610155546111,0.2437810352663911,0.0005157784105397366,0.20699474696905304,0.32528869831163315,0.0,0.34999999999999976,0.34809917885628916,1.122339865164197,0.27862230577174074,0.20983363860074628,0.0,0.252196623100618,0.15000000000000002,0.0,2.7110916114935923
334.0,30.041820209488495,0.4,44.50514285714286,200.0,0.49783633864788035,0.9170155555555556,0.0,2.7634924389094975,0.33411546265880443,1.2637605438861717,0.3866655505174644,0.2492628262694379,0.0005175689925614489,0.2989977332390039,0.4703356545212013,0.0,0.34999999999999976,0.2985766084479716,1.4384261743385924,0.34130103490577857,0.22686520755802037,0.0,0.2516643465559456,0.14999999999999997,0.0,3.05683337180631
488.0,33.51872783359902,0.25,44.97557142857143,15.0,0.4253982246941046,0.7374111111111111,0.0,2.656089468609187,0.16390344478666205,1.590148748808105,0.2542419505028682,0.20003001824598468,0.00047624605527825376,0.28953524776875506,0.3971861749702026,0.0,0.34999999999999976,0.15762775420891378,1.2291267097518357,0.27445464130733027,0.19199252635515768,0.0,0.2567126652633415,0.15,0.0,2.6099142968865814
875.0,30.026546122264865,0.63,44.46818181818182,65.0,0.49568079094055123,0.9176377777777778,0.0,2.542027367689889,0.17839019596141914,1.2686891515870105,0.3741045740363458,0.20852553758819575,0.0005191268600766034,0.29761319861461977,0.4482584369718453,0.0,0.3499999999999998,0.19572203913838881,1.43219803066656,0.3415326177694489,0.03519879249573375,0.0,0.2533303863718728,0.013507956795943526,0.0,2.621489823237948
622.0,32.63414871782325,0.9,45.5595,75.0,0.450087754727475,0.7401211111111111,0.0,2.235479332732111,0.2618046797056226,1.0898484964627297,0.2598254306524462,0.23870333781317105,0.0005141197479788971,0.21381632273883172,0.33388453579778343,0.0,0.34999999999999976,0.2033408961242839,1.300463539699955,0.2754632673867804,0.20797289453257967,0.0,0.2530642748142342,0.15,0.0,2.7403048725578345
343.0,30.016381375498582,0.35,44.75725,200.0,0.2965218119515511,0.35455888888888887,0.0,1.447238841236852,0.2987485653951759,0.5213882565876737,0.10218365441642378,0.2387620305157775,0.00046411918219068136,0.1552288490685591,0.2363736074261817,0.0,0.34999999999999976,0.2985766084479716,0.8567569348831687,0.13196211883178852,0.2227564468238034,0.0,0.12000000000000008,0.14999999999999997,0.0,2.1300521089867317
341.0,29.435040196916315,0.37,46.20566666666666,455.0,0.4161498775182302,0.6888377777777778,0.0,2.654909708877751,0.9051733368664197,0.8824891490172152,0.25119955398561783,0.21436871620832423,0.00048320795816081933,0.22824590906079753,0.349135414042275,0.0,0.34999999999999976,0.4928574615882938,1.2024049467658737,0.25637629047123506,0.20151780721861132,0.0,0.25424663935105124,0.14999999999999997,0.0,2.9074031453950653
988.0,27.965240709386872,0.58,45.71233333333333,240.0,0.39944464998146084,0.1535922222222222,0.0,2.4179397096089756,0.412568501478665,1.288256566032953,0.06361346532413276,0.2351035714875839,0.0004537573768952729,0.26240617530864196,0.36223272286532415,0.0,0.3499999999999998,0.32905203639155123,1.1541376053290586,0.057164989274543374,0.21115913404320547,0.0,0.2535758676651202,0.14999999999999997,0.0,2.5050896327034797
386.0,31.750596310802568,0.78,44.91536363636364,120.0,0.4325239183042887,0.4186188888888889,0.0,1.832668445984508,0.1622431545269581,1.0060502013153798,0.12509462738062807,0.21635547004996553,0.0005034152391329727,0.17133593750243217,0.2740796461005604,0.0,0.34999999999999976,0.23762575256081137,1.2497153719355654,0.1558044017283074,0.19219884055126088,0.0,0.12000000000000008,0.14999999999999997,0.0,2.4553443667759463
