t_s,t_h,soc,v_term_V,p_W,p_max_W,v1_V,status,scenario_id,seed
3072.0,0.8533333333333334,0.7761701459572384,3.8312116399352125,4.092934876909974,47.9386140154084,0.02140835860319255,cutoff,S3_gaming,1
3074.0,0.8538888888888889,0.7760217676623488,3.8311378472217807,4.092934876897633,47.936847940514184,0.021406315973380073,cutoff,S3_gaming,1
3076.0,0.8544444444444445,0.7758733865070532,3.8310639305414758,4.092934876888447,47.935078932869516,0.02140439305246167,cutoff,S3_gaming,1
3078.0,0.855,0.7757250024865555,3.8309898958285165,4.09293487688161,47.933307134664,0.02140258403584179,cutoff,S3_gaming,1
3080.0,0.8555555555555555,0.7755766155962834,3.8309157487293093,4.0929348768765195,47.93153268118876,0.021400883400447553,cutoff,S3_gaming,1
3082.0,0.8561111111111112,0.7754282258318774,3.830841494616407,4.0929348768727305,47.92975570117121,0.021399285891074902,cutoff,S3_gaming,1
3084.0,0.8566666666666667,0.7752798331891806,3.830767138601791,4.0929348768699105,47.92797631709337,0.02139778650739696,cutoff,S3_gaming,1
3086.0,0.8572222222222222,0.7751314376642288,3.83069268554951,4.092934876867812,47.92619464549488,0.021396380491602467,cutoff,S3_gaming,1
3088.0,0.8577777777777778,0.7749830392532411,3.830618140087702,4.092934876866249,47.92441079726136,0.021395063316633753,cutoff,S3_gaming,1
3090.0,0.8583333333333333,0.7748346379526111,3.830543506620041,4.092934876865086,47.92262487789864,0.02139383067499518,cutoff,S3_gaming,1
3092.0,0.8588888888888889,0.7746862337588986,3.8304687893366194,4.09293487686422,47.92083698779377,0.021392678468104363,cutoff,S3_gaming,1
3094.0,0.8594444444444445,0.7745378266688211,3.830393992224309,4.092934876863575,47.91904722246337,0.021391602796159863,cutoff,S3_gaming,1
3096.0,0.86,0.7743894166792467,3.830319119076616,4.0929348768630955,47.917255672789985,0.021390599948500295,cutoff,S3_gaming,1
3098.0,0.8605555555555555,0.7742410037871863,3.83024417350306,4.0929348768627385,47.91546242524677,0.021389666394431028,cutoff,S3_gaming,1
3100.0,0.8611111111111112,0.7740925879897871,3.8301691589380966,4.092934876862473,47.9136675621115,0.02138879877449578,cutoff,S3_gaming,1
3102.0,0.8616666666666667,0.7739441692843257,3.8300940786496103,4.092934876862275,47.91187116167011,0.02138799389217155,cutoff,S3_gaming,1
3104.0,0.8622222222222222,0.773795747668202,3.8300189357469883,4.092934876862127,47.91007329841037,0.021387248705966342,cutoff,S3_gaming,1
