t_s,t_h,soc,ocv_V,v1_V,i_A,v_term_V,p_W,p_max_W,discriminant,scenario_id,status
6884.0,1.9122222222222223,0.26833632351154824,3.6841681617557738,0.03234300213522754,1.6182301292635093,3.5223667492799637,5.7,41.67445936386759,11.511826996437629,S3_gaming,cutoff
6886.0,1.9127777777777777,0.26811156556896626,3.6840557827844833,0.032344082213563295,1.6182842448506067,3.5222489609833696,5.7,41.6718698252705,11.51099834408656,S3_gaming,cutoff
6888.0,1.9133333333333333,0.2678868001099414,3.6839434000549707,0.03234516240357916,1.6183383660413164,3.5221311683685856,5.7,41.669280278808586,11.510169689218747,S3_gaming,cutoff
6890.0,1.913888888888889,0.26766202713369536,3.6838310135668477,0.032346242705294743,1.6183924928366233,3.522013371435121,5.7,41.66669072448077,11.509341031833847,S3_gaming,cutoff
6892.0,1.9144444444444444,0.2674372466394495,3.6837186233197254,0.03234732311872967,1.618446625237513,3.5218955701824926,5.7,41.664101162285974,11.508512371931511,S3_gaming,cutoff
6894.0,1.915,0.26721245862642534,3.6836062293132126,0.032348403643903546,1.618500763244976,3.52177776461021,5.7,41.66151159222303,11.50768370951137,S3_gaming,cutoff
6896.0,1.9155555555555555,0.2669876630938441,3.683493831546922,0.032349484280836005,1.6185549068599925,3.521659954717786,5.7,41.658922014290916,11.506855044573093,S3_gaming,cutoff
6898.0,1.916111111111111,0.2667628600409268,3.6833814300204635,0.03235056502954667,1.6186090560835502,3.5215421405047316,5.7,41.656332428488504,11.50602637711632,S3_gaming,cutoff
6900.0,1.9166666666666667,0.2665380494668945,3.6832690247334474,0.032351645890055174,1.6186632109166348,3.52142432197056,5.7,41.65374283481471,11.505197707140708,S3_gaming,cutoff
6902.0,1.9172222222222222,0.266313231370968,3.6831566156854842,0.032352726862381165,1.6187173713602399,3.5213064991147824,5.7,41.65115323326841,11.504369034645892,S3_gaming,cutoff
6904.0,1.9177777777777778,0.266088405752368,3.683044202876184,0.03235380794654428,1.6187715374153422,3.521188671936911,5.7,41.648563623848524,11.503540359631529,S3_gaming,cutoff
6906.0,1.9183333333333332,0.265863572610315,3.682931786305158,0.03235488914256417,1.6188257090829383,3.5210708404364572,5.7,41.64597400655396,11.502711682097269,S3_gaming,cutoff
6908.0,1.9188888888888889,0.2656387319440295,3.6828193659720148,0.032355970450460486,1.6188798863640108,3.5209530046129327,5.7,41.64338438138361,11.501883002042756,S3_gaming,cutoff
6910.0,1.9194444444444445,0.2654138837527317,3.682706941876366,0.03235705187025289,1.6189340692595477,3.5208351644658484,5.7,41.640794748336376,11.501054319467642,S3_gaming,cutoff
6912.0,1.92,0.26518902803564187,3.682594514017821,0.032358133401961045,1.61898825777054,3.520717319994716,5.7,41.63820510741117,11.500225634371574,S3_gaming,cutoff
6914.0,1.9205555555555556,0.26496416479197993,3.68248208239599,0.03235921504560462,1.619042451897973,3.5205994711990476,5.7,41.63561545860687,11.4993969467542,S3_gaming,cutoff
6916.0,1.9211111111111112,0.26473929402096574,3.682369647010483,0.03236029680120329,1.6190966516428345,3.5204816180783522,5.7,41.6330258019224,11.498568256615169,S3_gaming,cutoff
6918.0,1.9216666666666666,0.26451441572181905,3.6822572078609097,0.032361378668776725,1.6191508570061157,3.5203637606321427,5.7,41.630436137356654,11.497739563954129,S3_gaming,cutoff
6920.0,1.9222222222222223,0.2642895298937594,3.6821447649468797,0.03236246064834461,1.6192050679888075,3.5202458988599306,5.7,41.62784646490851,11.496910868770723,S3_gaming,cutoff
6922.0,1.9227777777777777,0.26406463653600637,3.682032318268003,0.032363542739926636,1.6192592845918923,3.520128032761225,5.7,41.625256784576905,11.496082171064609,S3_gaming,cutoff
6924.0,1.9233333333333333,0.2638397356477792,3.68191986782389,0.032364624943542496,1.6193135068163667,3.520010162335538,5.7,41.62266709636072,11.495253470835431,S3_gaming,cutoff
6926.0,1.923888888888889,0.26361482722829704,3.681807413614149,0.03236570725921188,1.6193677346632185,3.5198922875823793,5.7,41.62007740025886,11.494424768082835,S3_gaming,cutoff
6928.0,1.9244444444444444,0.263389911276779,3.6816949556383896,0.03236678968695451,1.6194219681334359,3.51977440850126,5.7,41.617487696270196,11.493596062806464,S3_gaming,cutoff
6930.0,1.925,0.263164987792444,3.6815824938962223,0.03236787222679007,1.61947620722801,3.519656525091692,5.7,41.61489798439368,11.492767355005977,S3_gaming,cutoff
6932.0,1.9255555555555555,0.2629400567745108,3.6814700283872557,0.03236895487873829,1.6195304519479314,3.519538637353182,5.7,41.61230826462817,11.491938644681014,S3_gaming,cutoff
6934.0,1.926111111111111,0.262715118222198,3.681357559111099,0.03237003764281888,1.6195847022941938,3.5194207452852457,5.7,41.609718536972565,11.491109931831222,S3_gaming,cutoff
6936.0,1.9266666666666667,0.26249017213472414,3.6812450860673622,0.03237112051905156,1.6196389582677828,3.5193028488873885,5.7,41.607128801425795,11.490281216456255,S3_gaming,cutoff
6938.0,1.9272222222222222,0.2622652185113075,3.6811326092556538,0.032372203507456065,1.6196932198696916,3.5191849481591233,5.7,41.604539057986734,11.489452498555755,S3_gaming,cutoff
6940.0,1.9277777777777778,0.2620402573511664,3.6810201286755833,0.03237328660805212,1.619747487100917,3.519067043099958,5.7,41.60194930665427,11.488623778129368,S3_gaming,cutoff
6942.0,1.9283333333333332,0.26181528865351883,3.6809076443267594,0.032374369820859464,1.6198017599624441,3.518949133709405,5.7,41.59935954742732,11.487795055176743,S3_gaming,cutoff
6944.0,1.9288888888888889,0.2615903124175828,3.6807951562087915,0.03237545314589784,1.6198560384552667,3.5188312199869727,5.7,41.59676978030479,11.486966329697534,S3_gaming,cutoff
