t_s,t_h,step_index,i_A,v_meas_V,v_pred_V,soc,v1_V,v2_V,h,z,v_cut_V
20614.87152551207,5.72635320153113,8,-0.0,3.356651782989502,3.28310285954166,0.06840644545839739,0.006466250894358255,0.021312310801112812,0.0,0.06846177406801461,3.3
20615.887050135174,5.726635291704215,8,-0.0,3.356813669204712,3.28327907873193,0.06840644545839739,0.006433998238657915,0.02131086334462381,0.0,0.06834775880555005,3.3
20616.902691874267,5.7269174144095185,8,-0.0,3.356651782989502,3.2834576144105827,0.06840644545839739,0.006401411621768485,0.021309393613226976,0.0,0.06823217534125708,3.3
20617.917948536586,5.727199430149051,8,-0.0,3.356975793838501,3.2836357611331057,0.06840644545839739,0.006368986318518312,0.021307923813711955,0.0,0.06811677404545086,3.3
20618.91831951872,5.727477310977423,8,-0.0,3.356975793838501,3.2838134322249686,0.06840644545839739,0.006336737460977116,0.02130645467278661,0.0,0.06800161157073348,3.3
20619.933882040987,5.7277594116780515,8,-0.0,3.3572998046875,3.2839881004350038,0.06840644545839739,0.006305121155592382,0.021305007171464333,0.0,0.0678883280480712,3.3
20620.94948896357,5.728041524712103,8,-0.0,3.357137680053711,3.284165018390804,0.06840644545839739,0.006273186080653804,0.021303537789112998,0.0,0.0677735172492627,3.3
20621.94949299898,5.728319303610828,8,-0.0,3.35746169090271,3.284341539498035,0.06840644545839739,0.006241411369424136,0.021302068443868664,0.0,0.06765889560865712,3.3
20622.965208436188,5.72860144678783,8,-0.0,3.35746169090271,3.284514954571141,0.06840644545839739,0.006210282075046749,0.021300621771366157,0.0,0.0675462243236766,3.3
20623.97989932277,5.728883305367436,8,-0.0,3.357623815536499,3.2846906951026336,0.06840644545839739,0.006178822630406984,0.02129915247027675,0.0,0.0674319748950656,3.3
20624.980244841638,5.729161179122677,8,-0.0,3.357785940170288,3.284865857950286,0.06840644545839739,0.0061475540422918,0.02129768475246713,0.0,0.06731803366168351,3.3
20625.98068598309,5.729439079439747,8,-0.0,3.357623815536499,3.2850381538188893,0.06840644545839739,0.006116882421091025,0.0212962378837769,0.0,0.06720589175871373,3.3
20626.996378618638,5.729721216282955,8,-0.0,3.358109951019287,3.2852100794602883,0.06840644545839739,0.006086360917994463,0.021294790975088965,0.0,0.06709392597502216,3.3
20627.996418237457,5.72999900506596,8,-0.0,3.357947826385498,3.2853842316515016,0.06840644545839739,0.0060555299115143315,0.021293322109177535,0.0,0.06698044411996494,3.3
20629.01191632964,5.730281087869344,8,-0.0,3.358271837234497,3.285555312852644,0.06840644545839739,0.006025326636499397,0.0212918759792043,0.0,0.06686889868304137,3.3
20630.027584088388,5.73056321780233,8,-0.0,3.358271837234497,3.2857286467393556,0.06840644545839739,0.005994810635890303,0.021290407595657496,0.0,0.06675581908099668,3.3
20631.043189146334,5.730845330318426,8,-0.0,3.358271837234497,3.2859016158032484,0.06840644545839739,0.005964444127447155,0.021288939068069015,0.0,0.06664291185870802,3.3
20632.058807512352,5.731127446531209,8,-0.0,3.358271837234497,3.2860741815971233,0.06840644545839739,0.005934233299920573,0.021287470732421803,0.0,0.06653020255414675,3.3
20633.07441318182,5.731409559217172,8,-0.0,3.358433961868286,3.2862463582473627,0.06840644545839739,0.005904175102019379,0.021286002478809813,0.0,0.06641768239516603,3.3
20634.074455201608,5.731687348667113,8,-0.0,3.358433961868286,3.286418142523464,0.06840644545839739,0.005874269528421695,0.021284534344820367,0.0,0.0663053539403546,3.3
20635.090008957093,5.731969446932526,8,-0.0,3.358757972717285,3.286586914136603,0.06840644545839739,0.0058449702588985785,0.02128308880819525,0.0,0.0661949324947619,3.3
20636.090035683883,5.732247232134412,8,-0.0,3.358919858932495,3.286757918693532,0.06840644545839739,0.005815366076617843,0.021281620950199608,0.0,0.06608298648143944,3.3
20637.10481074461,5.732529114095725,8,-0.0,3.358919858932495,3.2869259308498906,0.06840644545839739,0.005786361044054044,0.02128017563353922,0.0,0.06597293703573259,3.3
20638.105568648094,5.732807102402249,8,-0.0,3.358757972717285,3.28709603868412,0.06840644545839739,0.0057570761264908775,0.021278709101774842,0.0,0.06586145192781111,3.3
20639.121201906113,5.7330892227516985,8,-0.0,3.358919858932495,3.2872634209117066,0.06840644545839739,0.0057283408818318655,0.021277262926296156,0.0,0.06575169128185143,3.3
20640.136718619564,5.733371310727657,8,-0.0,3.358919858932495,3.287432910615614,0.06840644545839739,0.005699325149977321,0.021275795355225845,0.0,0.06564048616106583,3.3
20641.152424282478,5.733653451189578,8,-0.0,3.359081983566284,3.2876019987617475,0.06840644545839739,0.005670459695646524,0.02127432805376661,0.0,0.06552948184879116,3.3
20642.168072367334,5.7339355756575925,8,-0.0,3.359081983566284,3.2877707373178127,0.06840644545839739,0.0056417351065821955,0.021272860580519574,0.0,0.06541864465378806,3.3
20643.183718106364,5.73421769947399,8,-0.0,3.359081983566284,3.287939086391821,0.06840644545839739,0.005613157642331973,0.021271393291675912,0.0,0.06530800119705656,3.3
20644.199263486043,5.734499795412789,8,-0.0,3.359081983566284,3.2881070563057224,0.06840644545839739,0.005584724998957546,0.02126992610742666,0.0,0.06519754512803416,3.3
20645.214898473354,5.734781916242598,8,-0.0,3.359405994415283,3.288274632035919,0.06840644545839739,0.005556439165254506,0.021268459169338123,0.0,0.06508728676130977,3.3
20646.214938317735,5.7350597050882595,8,-0.0,3.359567880630493,3.2884418460599227,0.06840644545839739,0.005528294118368059,0.02126699220299763,0.0,0.06497720515268877,3.3
20647.230468735233,5.735341796870898,8,-0.0,3.3597300052642822,3.2886061257085357,0.06840644545839739,0.005500720540559431,0.021265547860886795,0.0,0.06486899576973378,3.3
20648.245319564216,5.735623699878949,8,-0.0,3.359891891479492,3.2887725786878064,0.06840644545839739,0.005472860586858172,0.021264081246363316,0.0,0.06475929464089697,3.3
20649.24628435674,5.73590174565465,8,-0.0,3.3600540161132812,3.2889385475492436,0.06840644545839739,0.00544516024007617,0.021262615714337914,0.0,0.0646498522547935,3.3
20650.261712795862,5.736183809109962,8,-0.0,3.359891891479492,3.289101881572559,0.06840644545839739,0.0054179762539014464,0.021261170333887115,0.0,0.06454208852944181,3.3
20651.277346319537,5.736465929533205,8,-0.0,3.359891891479492,3.289267207535055,0.06840644545839739,0.0053905381306147675,0.021259704168507525,0.0,0.06443295119037742,3.3
20652.27747147088,5.7367437420752445,8,-0.0,3.3600540161132812,3.2894321970389186,0.06840644545839739,0.005363233461953428,0.021258237808145775,0.0,0.06432397641050526,3.3
20653.29297991879,5.73702582775522,8,-0.0,3.3602161407470703,3.28959430681678,0.06840644545839739,0.005336480884127501,0.021256793937434702,0.0,0.0642168457470458,3.3
20654.307722919864,5.7373077008110736,8,-0.0,3.3602161407470703,3.289758545227512,0.06840644545839739,0.0053094533518134104,0.02125532795835439,0.0,0.06410824982757571,3.3
20655.308529995524,5.737585702776534,8,-0.0,3.3607020378112793,3.289922293713994,0.06840644545839739,0.005282582922764234,0.02125386318525368,0.0,0.06399991920011033,3.3
20656.308551479284,5.7378634865220235,8,-0.0,3.3605401515960693,3.290083435936136,0.06840644545839739,0.005256214719662806,0.021252418627418,0.0,0.06389325563114591,3.3
20657.308600666882,5.738141277963023,8,-0.0,3.3605401515960693,3.2902440981587993,0.06840644545839739,0.005229998677580387,0.021250975301566558,0.0,0.06378685334736262,3.3
20658.324117956763,5.7384233660991,8,-0.0,3.3607020378112793,3.290404412472402,0.06840644545839739,0.005203912670513573,0.02124953203375567,0.0,0.06368062531638234,3.3
20659.33979402114,5.738705498339206,8,-0.0,3.3608641624450684,3.2905668468906226,0.06840644545839739,0.005177556323994025,0.02124806654273462,0.0,0.06357293525183814,3.3
20660.35531977204,5.738987588825567,8,-0.0,3.3608641624450684,3.2907289453894775,0.06840644545839739,0.005151329375418369,0.021246600923678874,0.0,0.06346541050685993,3.3
20661.370964543665,5.739269712373241,8,-0.0,3.3610260486602783,3.2908906596959686,0.06840644545839739,0.005125239131599359,0.02124513562259621,0.0,0.06335808349758798,3.3
20662.37096525582,5.739547490348839,8,-0.0,3.3610260486602783,3.2910520337736076,0.06840644545839739,0.005099277993987945,0.02124367025085293,0.0,0.06325092544296101,3.3
20663.371036648587,5.739825287957941,8,-0.0,3.3611881732940674,3.291210572270299,0.06840644545839739,0.005073845220823629,0.021242227549100434,0.0,0.06314559502554118,3.3
20664.386615391155,5.74010739316421,8,-0.0,3.3610260486602783,3.2913687757359935,0.06840644545839739,0.005048537510065911,0.021240784843364228,0.0,0.06304043258618068,3.3
20665.40224391742,5.740389512199283,8,-0.0,3.3611881732940674,3.2915290790250693,0.06840644545839739,0.005022966551434963,0.021239319866957488,0.0,0.06293381870295041,3.3
20666.417878824534,5.740671633006815,8,-0.0,3.3613500595092773,3.291689035146324,0.06840644545839739,0.00499752386632156,0.021237854919784385,0.0,0.06282737991177569,3.3
